series,idx,lon,lat
mesh,69,-75.75723,36.23261
mesh,70,-75.71426,36.12983
mesh,71,-75.56395,35.89533
mesh,72,-75.55394,35.85366
mesh,73,-75.52383,35.79438
mesh,74,-75.53161,35.79841
mesh,75,-75.55126,35.80512
mesh,76,-75.55797,35.80866
mesh,77,-75.75381,35.61180
mesh,78,-75.75829,35.60725
mesh,79,-75.76439,35.60391
mesh,80,-75.77335,35.60261
mesh,81,-75.78234,35.59919
mesh,82,-75.78205,35.58222
mesh,83,-75.78392,35.57591
mesh,84,-75.79503,35.57095
mesh,85,-75.80834,35.56883
mesh,86,-75.83918,35.56851
mesh,87,-76.02465,35.42731
mesh,88,-76.02823,35.41934
mesh,89,-76.03478,35.41816
mesh,90,-76.05968,35.07148
mesh,91,-76.03718,35.06135
mesh,92,-76.04060,35.05768
mesh,93,-76.04393,35.05630
mesh,94,-76.04752,35.05573
mesh,95,-76.05142,35.05459
mesh,96,-76.12560,35.01154
mesh,97,-76.14086,34.99250
mesh,98,-76.14704,34.99250
mesh,99,-76.26989,34.97260
mesh,100,-76.26989,34.96516
mesh,101,-76.29353,34.94379
mesh,102,-76.30468,34.93789
mesh,103,-76.30468,34.88325
mesh,104,-76.40779,34.79442
mesh,105,-76.52505,34.63784
mesh,106,-76.53771,34.64216
mesh,107,-76.55167,34.63687
mesh,108,-76.62131,34.56955
mesh,109,-77.05773,34.55414
mesh,110,-77.47264,34.17833
mesh,111,-77.88400,33.80136
mesh,112,-78.29193,33.42329
mesh,113,-78.26801,33.06483
mesh,114,-78.24445,32.70635
mesh,115,-78.22125,32.34786
mesh,116,-78.19840,31.98937
mesh,117,-78.17590,31.63086
mesh,118,-78.15373,31.27233
mesh,119,-78.13189,30.91380
mesh,120,-78.11039,30.55526
mesh,121,-78.08920,30.19670
mesh,122,-78.06833,29.83814
mesh,123,-78.04777,29.47956
mesh,124,-78.02752,29.12098
mesh,125,-78.00757,28.76238
mesh,126,-77.98792,28.40378
mesh,127,-77.96856,28.04516
mesh,128,-77.94948,27.68654
mesh,129,-77.52615,27.34392
mesh,130,-77.10556,26.99978
mesh,131,-76.68766,26.65416
mesh,132,-76.67343,26.29501
mesh,133,-76.65940,25.93585
mesh,134,-76.24695,25.58855
mesh,135,-76.16128,25.16572
mesh,136,-76.13126,25.14777
mesh,137,-76.11828,25.13394
mesh,138,-76.11290,25.11489
mesh,139,-76.12133,25.03010
mesh,140,-75.97174,24.61290
mesh,141,-75.71059,24.34288
mesh,142,-75.45055,24.07241
mesh,143,-75.19160,23.80150
mesh,144,-74.93374,23.53016
mesh,145,-74.67693,23.25840
mesh,146,-74.42117,22.98623
mesh,147,-74.58032,22.16962
mesh,148,-74.50597,21.77578
mesh,149,-74.34237,21.44979
mesh,150,-74.18402,21.13303
mesh,151,-74.02631,21.10232
mesh,152,-74.15826,20.83946
mesh,153,-74.03932,20.34307
mesh,154,-74.23960,19.71129
mesh,155,-74.51025,19.70777
mesh,156,-74.65628,19.72885
mesh,157,-75.12515,19.72363
mesh,158,-75.50635,19.69871
mesh,159,-75.88743,19.67299
mesh,160,-76.26839,19.64646
mesh,161,-76.64922,19.61913
mesh,162,-77.02992,19.59100
mesh,163,-77.37949,19.20379
mesh,164,-77.72753,18.81608
mesh,165,-77.81180,18.65412
mesh,166,-77.91999,18.51118
mesh,167,-77.93029,18.50202
mesh,168,-77.95295,18.47443
mesh,169,-77.95914,18.46410
mesh,170,-78.19498,18.45547
mesh,171,-78.23062,18.44424
mesh,172,-78.26130,18.41739
mesh,173,-78.28840,18.39435
mesh,174,-78.29870,18.38638
mesh,175,-78.30663,18.37466
mesh,176,-78.31640,18.36860
mesh,177,-78.33194,18.36738
mesh,178,-78.33544,18.36343
mesh,179,-78.33629,18.35590
mesh,180,-78.34390,18.34406
mesh,181,-78.34581,18.33552
mesh,182,-78.34439,18.30537
mesh,183,-78.34732,18.29222
mesh,184,-78.35432,18.28384
mesh,185,-78.36913,18.27387
mesh,186,-78.37466,18.26557
mesh,187,-78.37027,18.24811
mesh,188,-78.35774,18.23273
mesh,189,-78.45902,17.86442
mesh,190,-78.68852,17.57882
mesh,191,-78.91732,17.29298
mesh,192,-79.14546,17.00690
mesh,193,-79.47398,16.56805
mesh,194,-79.76377,15.84907
mesh,195,-79.79312,15.49052
mesh,196,-79.82241,15.13196
mesh,197,-79.85164,14.77341
mesh,198,-79.88082,14.41486
mesh,199,-79.90996,14.05630
mesh,200,-79.93904,13.69775
mesh,201,-79.96808,13.33919
mesh,202,-79.99708,12.98064
mesh,203,-80.02604,12.62208
mesh,204,-80.22242,12.57479
mesh,205,-80.28315,12.20439
mesh,206,-80.23610,11.84762
mesh,207,-80.18918,11.49084
mesh,208,-80.14238,11.13405
mesh,209,-80.09569,10.77725
mesh,210,-80.04911,10.42045
mesh,211,-80.00264,10.06364
mesh,212,-79.95627,9.70682
mesh,213,-79.91000,9.35000
