leg,cum_dist_km,lon,lat,Hs_m,wind_mps,curr_mps,V_service_mps,V_achievable_mps,SOG_mps,brakePower_kW,feasible
97,707.0,142.0589,39.4998,2.136,6.79,0.000,5.71,5.714,5.714,1817.4,1
98,707.6,142.0620,39.5349,2.094,6.29,0.000,5.71,5.714,5.714,1784.4,1
99,708.2,142.0670,39.5385,2.093,6.25,0.000,5.71,5.714,5.714,1783.9,1
100,709.2,142.0698,39.5453,2.087,6.16,0.000,5.71,5.714,5.714,1779.3,1
101,709.9,142.0692,39.5533,2.076,6.05,0.000,5.71,5.714,5.714,1771.5,1
102,710.5,142.0661,39.5581,2.067,5.99,0.000,5.71,5.714,5.714,1764.7,1
103,711.0,142.0616,39.5614,2.058,5.94,0.000,5.71,5.714,5.714,1757.9,1
104,714.4,142.0449,39.5735,2.025,5.78,0.000,5.71,5.714,5.714,1733.1,1
105,715.6,142.0291,39.5894,1.988,5.57,0.000,5.71,5.714,5.714,1706.4,1
106,717.6,142.0317,39.6032,1.974,5.40,0.000,5.71,5.714,5.714,1696.8,1
107,719.7,142.0336,39.6206,1.954,5.19,0.000,5.71,5.714,5.714,1684.1,1
108,720.8,142.0336,39.6343,1.938,5.01,0.000,5.71,5.714,5.714,1673.6,1
109,722.9,142.0243,39.6374,1.921,4.95,0.000,5.71,5.714,5.714,1662.0,1
110,731.1,141.9982,39.6714,1.907,4.48,0.000,5.71,5.714,5.714,1652.5,1
111,733.8,141.9876,39.7187,1.846,4.12,0.000,5.71,5.714,5.714,1613.4,1
112,734.4,141.9926,39.7329,1.837,4.02,0.000,5.71,5.714,5.714,1607.8,1
113,735.9,141.9994,39.7402,1.838,3.95,0.000,5.71,5.714,5.714,1607.6,1
114,736.8,142.0068,39.7489,1.778,3.94,0.000,5.71,5.714,5.714,1571.8,1
115,737.6,142.0078,39.7566,1.771,4.00,0.000,5.71,5.714,5.714,1567.6,1
116,738.5,142.0054,39.7639,1.761,4.05,0.000,5.71,5.714,5.714,1561.2,1
117,739.0,142.0044,39.7700,1.754,4.11,0.000,5.71,5.714,5.714,1556.6,1
118,739.6,142.0036,39.7751,1.747,4.15,0.000,5.71,5.714,5.714,1552.9,1
119,746.8,141.9905,39.8084,1.761,4.27,0.000,5.71,5.714,5.714,1560.4,1
120,748.2,141.9771,39.8458,1.710,4.34,0.000,5.71,5.714,5.714,1532.0,1
121,751.7,141.9736,39.8676,1.686,4.38,0.000,5.71,5.714,5.714,1519.0,1
122,752.8,141.9690,39.8874,1.662,4.43,0.000,5.71,5.714,5.714,1506.4,1
123,753.7,141.9627,39.8951,1.646,4.46,0.000,5.71,5.714,5.714,1498.4,1
124,759.8,141.9603,39.9260,1.616,4.54,0.000,5.71,5.714,5.714,1483.0,1
125,761.0,141.9605,39.9590,1.589,4.65,0.000,5.71,5.714,5.714,1469.2,1
126,762.3,141.9575,39.9696,1.576,4.71,0.000,5.71,5.714,5.714,1462.8,1
127,764.7,141.9524,39.9857,1.556,4.82,0.000,5.71,5.714,5.714,1453.1,1
128,765.6,141.9454,39.9990,1.608,4.92,0.000,5.71,5.714,5.714,1478.1,1
129,766.6,141.9358,40.0028,1.596,4.99,0.000,5.71,5.714,5.714,1472.2,1
130,780.8,141.8889,40.0596,1.675,5.76,0.000,5.71,5.714,5.714,1508.3,1
131,782.9,141.8567,40.1212,1.727,6.62,0.000,5.71,5.714,5.714,1532.1,1
132,784.5,141.8716,40.1333,1.769,6.82,0.000,5.71,5.714,5.714,1554.3,1
133,787.0,141.8711,40.1495,1.801,7.06,0.000,5.71,5.714,5.714,1571.1,1
134,788.3,141.8589,40.1635,1.815,7.24,0.000,5.71,5.714,5.714,1579.1,1
135,790.8,141.8394,40.1715,1.870,7.33,0.000,5.71,5.714,5.714,1611.1,1
136,794.7,141.8252,40.1933,1.903,7.61,0.000,5.71,5.714,5.714,1630.8,1
137,795.7,141.8294,40.2127,1.952,7.92,0.000,5.71,5.714,5.714,1661.1,1
138,797.1,141.8381,40.2201,1.980,8.09,0.000,5.71,5.714,5.714,1678.7,1
139,800.1,141.8362,40.2385,2.022,8.38,0.000,5.71,5.714,5.714,1706.7,1
140,805.0,141.8169,40.2706,2.085,8.79,0.000,5.71,5.714,5.714,1752.3,1
141,807.4,141.7946,40.2984,2.193,9.02,0.000,5.71,5.714,5.714,1834.4,1
142,808.5,141.7821,40.3112,2.233,9.11,0.000,5.71,5.714,5.714,1960.5,1
143,809.9,141.7770,40.3215,2.255,9.22,0.000,5.71,5.714,5.714,1983.1,1
