lon,lat,hs
-78.500,24.500,nan
-78.000,24.500,nan
-77.500,24.500,0.665
-77.000,24.500,0.743
-76.500,24.500,0.820
-76.000,24.500,0.965
-75.500,24.500,1.110
-75.000,24.500,1.592
-74.500,24.500,1.857
-74.000,24.500,2.035
-73.500,24.500,2.159
-73.000,24.500,2.250
-72.500,24.500,2.304
-72.000,24.500,2.313
-71.500,24.500,2.265
-71.000,24.500,2.181
-70.500,24.500,2.090
-70.000,24.500,2.017
-83.000,25.000,1.632
-82.500,25.000,1.526
-82.000,25.000,1.102
-81.500,25.000,0.658
-81.000,25.000,0.438
-80.500,25.000,0.510
-80.000,25.000,0.975
-79.500,25.000,1.236
-79.000,25.000,1.209
-78.500,25.000,nan
-78.000,25.000,nan
-77.500,25.000,0.860
-77.000,25.000,0.922
-76.500,25.000,0.985
-76.000,25.000,1.244
-75.500,25.000,1.635
-75.000,25.000,1.891
-74.500,25.000,2.076
-74.000,25.000,2.214
-73.500,25.000,2.318
-73.000,25.000,2.400
-72.500,25.000,2.460
-72.000,25.000,2.493
-71.500,25.000,2.479
-71.000,25.000,2.422
-70.500,25.000,2.338
-70.000,25.000,2.260
-83.000,25.500,1.642
-82.500,25.500,1.512
-82.000,25.500,1.212
-81.500,25.500,nan
-81.000,25.500,nan
-80.500,25.500,nan
-80.000,25.500,0.798
-79.500,25.500,1.202
-79.000,25.500,0.893
-78.500,25.500,nan
-78.000,25.500,nan
-77.500,25.500,1.100
-77.000,25.500,1.139
-76.500,25.500,1.318
-76.000,25.500,1.616
-75.500,25.500,1.910
-75.000,25.500,2.121
-74.500,25.500,2.281
-74.000,25.500,2.404
-73.500,25.500,2.496
-73.000,25.500,2.565
-72.500,25.500,2.615
-72.000,25.500,2.652
-71.500,25.500,2.666
-71.000,25.500,2.642
-70.500,25.500,2.584
-70.000,25.500,2.511
-83.000,26.000,1.632
-82.500,26.000,1.470
-82.000,26.000,1.044
-81.500,26.000,nan
-81.000,26.000,nan
-80.500,26.000,nan
-80.000,26.000,0.867
-79.500,26.000,1.285
-79.000,26.000,1.383
-78.500,26.000,1.297
-78.000,26.000,1.293
-77.500,26.000,1.190
-77.000,26.000,1.189
-76.500,26.000,1.593
-76.000,26.000,1.918
-75.500,26.000,2.156
-75.000,26.000,2.342
-74.500,26.000,2.489
-74.000,26.000,2.602
-73.500,26.000,2.686
-73.000,26.000,2.751
