series,idx,lon,lat
mesh,248,-73.08214,40.95161
mesh,249,-73.09130,40.94835
mesh,250,-73.10440,40.94880
mesh,251,-73.09874,40.96951
mesh,252,-73.11315,40.97346
mesh,253,-73.13537,40.96845
mesh,254,-73.15282,40.96247
mesh,255,-73.40193,40.95440
mesh,256,-73.43130,40.93329
mesh,257,-73.46208,40.93638
mesh,258,-73.48569,40.94563
mesh,259,-73.49410,40.92705
mesh,260,-73.52046,40.91760
mesh,261,-73.56527,40.91451
mesh,262,-73.63265,40.89959
mesh,263,-73.67435,40.85676
mesh,264,-73.70531,40.86674
mesh,265,-73.72020,40.86624
mesh,266,-73.77741,40.89411
mesh,267,-73.78283,40.87604
mesh,268,-73.78816,40.87177
mesh,269,-73.79992,40.87226
mesh,270,-73.81168,40.87104
mesh,271,-73.81697,40.86201
mesh,272,-73.81991,40.83913
mesh,273,-73.80506,40.82615
mesh,274,-73.79769,40.81319
mesh,275,-73.82973,40.81090
mesh,276,-73.86603,40.81184
mesh,277,-73.89383,40.80385
mesh,278,-73.93338,40.79719
mesh,279,-73.94642,40.77723
mesh,280,-73.97222,40.74068
mesh,281,-73.97229,40.72720
mesh,282,-73.97581,40.71401
mesh,283,-74.00223,40.70405
