leg,cum_dist_km,lon,lat,Hs_m,wind_mps,curr_mps,V_service_mps,V_achievable_mps,SOG_mps,brakePower_kW,feasible
241,9359.7,-124.0687,44.6723,1.608,2.96,0.000,6.00,6.000,6.000,1729.3,1
242,9360.7,-124.0603,44.6677,1.604,2.94,0.000,6.00,6.000,6.000,1727.5,1
243,9362.1,-124.0585,44.6576,1.601,2.93,0.000,6.00,6.000,6.000,1726.2,1
244,9363.3,-124.0610,44.6461,1.607,2.93,0.000,6.00,6.000,6.000,1729.8,1
245,9364.3,-124.0651,44.6363,1.605,2.94,0.000,6.00,6.000,6.000,1729.4,1
246,9365.6,-124.0691,44.6263,1.604,2.95,0.000,6.00,6.000,6.000,1728.9,1
247,9366.0,-124.0695,44.6192,1.602,2.95,0.000,6.00,6.000,6.000,1728.2,1
248,9367.4,-124.0620,44.6222,1.600,2.93,0.000,6.00,6.000,6.000,1727.3,1
249,9369.4,-124.0595,44.6181,1.597,2.91,0.000,6.00,6.000,6.000,1726.4,1
250,9381.9,-124.0738,44.5538,1.750,2.87,0.000,6.00,6.000,6.000,1818.8,1
251,9385.9,-124.0829,44.4802,1.749,2.57,0.000,6.00,6.000,6.000,1819.0,1
252,9388.3,-124.0821,44.4516,1.747,2.51,0.000,6.00,6.000,6.000,1816.3,1
253,9389.7,-124.0831,44.4343,1.746,2.50,0.000,6.00,6.000,6.000,1814.0,1
254,9390.6,-124.0798,44.4305,1.745,2.49,0.000,6.00,6.000,6.000,1811.9,1
255,9391.4,-124.0722,44.4356,1.743,2.47,0.000,6.00,6.000,6.000,1809.6,1
256,9393.3,-124.0589,44.4433,1.740,2.46,0.000,6.00,6.000,6.000,1805.5,1
257,9394.3,-124.0445,44.4461,1.743,2.45,0.000,6.00,6.000,6.000,1804.7,1
258,9395.3,-124.0335,44.4413,1.741,2.46,0.000,6.00,6.000,6.000,1800.7,1
259,9398.7,-124.0228,44.4245,1.737,2.44,0.000,6.00,6.000,6.000,1792.6,1
260,9400.2,-124.0264,44.4130,1.732,2.36,0.000,6.00,6.000,6.000,1784.8,1
261,9401.5,-124.0401,44.4207,1.730,2.32,0.000,6.00,6.000,6.000,1782.3,1
262,9402.6,-124.0494,44.4291,1.728,2.28,0.000,6.00,6.000,6.000,1779.7,1
263,9403.6,-124.0594,44.4312,1.721,2.25,0.000,6.00,6.000,6.000,1773.5,1
264,9404.6,-124.0686,44.4257,1.720,2.23,0.000,6.00,6.000,6.000,1770.6,1
265,9406.1,-124.0782,44.4167,1.718,2.21,0.000,6.00,6.000,6.000,1766.2,1
266,9409.1,-124.0866,44.3986,1.715,2.17,0.000,6.00,6.000,6.000,1754.9,1
267,9415.6,-124.0946,44.3564,1.707,2.10,0.000,6.00,6.000,6.000,1718.2,1
268,9416.2,-124.1018,44.3248,1.694,2.07,0.000,6.00,6.000,6.000,1685.9,1
269,9417.4,-124.1073,44.3178,1.693,2.07,0.000,6.00,6.000,6.000,1680.2,1
270,9418.1,-124.1128,44.3103,1.692,2.07,0.000,6.00,6.000,6.000,1675.1,1
271,9418.7,-124.1138,44.3044,1.692,2.06,0.000,6.00,6.000,6.000,1673.3,1
272,9419.8,-124.1109,44.2969,1.692,2.04,0.000,6.00,6.000,6.000,1670.6,1
273,9420.5,-124.1077,44.2894,1.691,2.02,0.000,6.00,6.000,6.000,1668.1,1
274,9424.7,-124.1107,44.2677,1.691,1.99,0.000,6.00,6.000,6.000,1663.1,1
275,9431.2,-124.1140,44.2198,1.690,1.87,0.000,6.00,6.000,6.000,1656.5,1
276,9441.3,-124.1200,44.1451,1.688,1.68,0.000,6.00,6.000,6.000,1652.2,1
277,9447.5,-124.1298,44.0719,1.688,1.49,0.000,6.00,6.000,6.000,1652.5,1
278,9448.9,-124.1335,44.0381,1.688,1.38,0.000,6.00,6.000,6.000,1652.9,1
279,9451.9,-124.1264,44.0193,1.687,1.30,0.000,6.00,6.000,6.000,1652.6,1
280,9453.1,-124.1219,44.0014,1.686,1.23,0.000,6.00,6.000,6.000,1652.4,1
281,9454.3,-124.1307,43.9933,1.687,1.22,0.000,6.00,6.000,6.000,1653.1,1
282,9455.3,-124.1385,43.9862,1.688,1.21,0.000,6.00,6.000,6.000,1653.9,1
283,9459.6,-124.1423,43.9626,1.689,1.16,0.000,6.00,6.000,6.000,1655.0,1
284,9466.5,-124.1479,43.9125,1.691,1.11,0.000,6.00,6.000,6.000,1660.2,1
285,9479.9,-124.1635,43.8221,1.691,1.24,0.000,6.00,6.000,6.000,1675.1,1
286,9485.1,-124.1839,43.7399,1.697,1.50,0.000,6.00,6.000,6.000,1696.1,1
287,9489.2,-124.1973,43.6991,1.701,1.58,0.000,6.00,6.000,6.000,1706.4,1
288,9490.3,-124.1969,43.6826,1.702,1.60,0.000,6.00,6.000,6.000,1710.7,1
