leg,cum_dist_km,lon,lat,Hs_m,wind_mps,curr_mps,V_service_mps,V_achievable_mps,SOG_mps,brakePower_kW,feasible
99,4466.0,-180.0000,44.1274,3.306,10.85,0.000,6.00,6.000,6.000,4130.3,1
100,5445.5,-176.4779,48.3580,3.092,8.44,0.000,6.00,6.000,6.000,4023.4,1
101,8273.8,-152.0367,52.0738,2.543,5.04,0.000,6.00,6.000,6.000,3090.4,1
102,8275.6,-131.1153,52.0500,1.537,2.87,0.000,6.00,6.000,6.000,1774.8,1
103,8278.4,-131.1014,52.0317,1.556,2.81,0.000,6.00,6.000,6.000,1790.9,1
104,8281.1,-131.1012,52.0115,1.579,2.74,0.000,6.00,6.000,6.000,1811.6,1
105,8285.5,-131.0935,51.9856,1.601,2.64,0.000,6.00,6.000,6.000,1830.9,1
106,8287.9,-131.0625,51.9615,1.611,2.54,0.000,6.00,6.000,6.000,1840.2,1
107,8289.9,-131.0373,51.9501,1.614,2.50,0.000,6.00,6.000,6.000,1843.1,1
108,9225.9,-127.5211,48.4370,2.630,10.19,0.000,6.00,6.000,6.000,2244.7,1
109,9228.7,-124.0250,44.9162,1.763,4.21,0.000,6.00,6.000,6.000,1630.3,1
110,9229.5,-124.0323,44.9011,1.760,4.17,0.000,6.00,6.000,6.000,1629.4,1
111,9234.0,-124.0396,44.8779,1.764,4.08,0.000,6.00,6.000,6.000,1629.3,1
112,9238.1,-124.0558,44.8408,1.767,3.96,0.000,6.00,6.000,6.000,1628.8,1
113,9243.3,-124.0693,44.8005,1.757,3.79,0.000,6.00,6.000,6.000,1626.0,1
114,9249.1,-124.0659,44.7519,1.747,3.45,0.000,6.00,6.000,6.000,1623.9,1
115,9255.0,-124.0682,44.7005,1.738,3.24,0.000,6.00,6.000,6.000,1629.1,1
116,9255.4,-124.0763,44.6739,1.740,3.17,0.000,6.00,6.000,6.000,1634.7,1
117,9257.0,-124.0663,44.6682,1.734,3.07,0.000,6.00,6.000,6.000,1635.9,1
118,9260.6,-124.0627,44.6478,1.734,2.95,0.000,6.00,6.000,6.000,1643.0,1
119,9261.9,-124.0691,44.6263,1.728,2.90,0.000,6.00,6.000,6.000,1648.2,1
120,9263.3,-124.0670,44.6150,1.723,2.84,0.000,6.00,6.000,6.000,1652.2,1
121,9275.8,-124.0738,44.5538,1.902,2.51,0.000,6.00,6.000,6.000,1752.5,1
122,9285.4,-124.0844,44.4549,1.887,1.87,0.000,6.00,6.000,6.000,1811.8,1
123,9288.3,-124.0866,44.3986,1.877,1.56,0.000,6.00,6.000,6.000,1830.5,1
124,9297.2,-124.1015,44.3464,1.864,1.57,0.000,6.00,6.000,6.000,1835.4,1
125,9303.7,-124.1141,44.2782,1.856,1.64,0.000,6.00,6.000,6.000,1845.4,1
126,9320.4,-124.1201,44.1743,1.843,1.66,0.000,6.00,6.000,6.000,1859.9,1
127,9326.5,-124.1298,44.0719,1.834,1.96,0.000,6.00,6.000,6.000,1862.4,1
128,9327.9,-124.1335,44.0381,1.831,2.13,0.000,6.00,6.000,6.000,1861.3,1
129,9332.5,-124.1353,44.0112,1.828,2.30,0.000,6.00,6.000,6.000,1860.1,1
130,9333.5,-124.1385,43.9862,1.827,2.37,0.000,6.00,6.000,6.000,1859.6,1
131,9337.8,-124.1423,43.9626,1.826,2.39,0.000,6.00,6.000,6.000,1859.6,1
132,9344.7,-124.1479,43.9125,1.823,2.42,0.000,6.00,6.000,6.000,1859.4,1
133,9358.1,-124.1635,43.8221,1.813,2.47,0.000,6.00,6.000,6.000,1853.0,1
134,9363.2,-124.1839,43.7399,1.812,2.42,0.000,6.00,6.000,6.000,1850.6,1
135,9367.4,-124.1973,43.6991,1.812,2.42,0.000,6.00,6.000,6.000,1848.6,1
136,9370.1,-124.2064,43.6687,1.805,2.43,0.000,6.00,6.000,6.000,1842.3,1
137,9373.4,-124.2127,43.6420,1.805,2.45,0.000,6.00,6.000,6.000,1840.2,1
138,9382.5,-124.2268,43.5873,1.805,2.41,0.000,6.00,6.000,6.000,1837.6,1
139,9397.7,-124.2680,43.4825,1.799,2.15,0.000,6.00,6.000,6.000,1834.2,1
140,9404.2,-124.3166,43.3916,1.778,1.65,0.000,6.00,6.000,6.000,1814.4,1
141,9406.1,-124.3323,43.3571,1.769,1.33,0.000,6.00,6.000,6.000,1795.0,1
142,9407.2,-124.3358,43.3505,1.766,1.22,0.000,6.00,6.000,6.000,1785.9,1
143,9410.3,-124.3593,43.3462,1.757,1.10,0.000,6.00,6.000,6.000,1768.4,1
144,9411.6,-124.3809,43.3352,1.754,0.96,0.000,6.00,6.000,6.000,1743.4,1
145,9414.2,-124.3933,43.3201,1.751,0.83,0.000,6.00,6.000,6.000,1708.5,1
146,9432.9,-124.4099,43.2261,1.727,0.78,0.000,6.00,6.000,6.000,1642.7,1
147,9435.5,-124.4215,43.1307,1.717,1.31,0.000,6.00,6.000,6.000,1672.6,1
148,9440.5,-124.4296,43.0971,1.715,1.53,0.000,6.00,6.000,6.000,1683.9,1
149,9447.8,-124.4445,43.0431,1.712,1.60,0.000,6.00,6.000,6.000,1690.7,1
150,9449.9,-124.4590,43.0022,1.701,1.59,0.000,6.00,6.000,6.000,1688.8,1
151,9457.3,-124.4781,42.9614,1.695,1.63,0.000,6.00,6.000,6.000,1685.6,1
152,9469.6,-124.5296,42.8819,1.674,1.85,0.000,6.00,6.000,6.000,1678.9,1
153,9472.6,-124.5528,42.8251,1.667,2.08,0.000,6.00,6.000,6.000,1682.7,1
154,9474.1,-124.5355,42.8101,1.658,2.09,0.000,6.00,6.000,6.000,1682.3,1
155,9480.4,-124.5235,42.7763,1.647,2.15,0.000,6.00,6.000,6.000,1682.8,1
156,9481.9,-124.5102,42.7426,1.634,2.21,0.000,6.00,6.000,6.000,1683.3,1
157,9483.1,-124.4987,42.7371,1.646,2.21,0.000,6.00,6.000,6.000,1690.5,1
158,9487.5,-124.4793,42.7201,1.635,2.23,0.000,6.00,6.000,6.000,1687.8,1
159,9489.5,-124.4606,42.6947,1.623,2.27,0.000,6.00,6.000,6.000,1684.7,1
160,9491.0,-124.4477,42.6825,1.633,2.27,0.000,6.00,6.000,6.000,1690.7,1
161,9492.4,-124.4335,42.6748,1.626,2.26,0.000,6.00,6.000,6.000,1689.1,1
162,9495.7,-124.4174,42.6582,1.616,2.25,0.000,6.00,6.000,6.000,1686.7,1
163,9501.2,-124.4060,42.6200,1.603,2.29,0.000,6.00,6.000,6.000,1683.6,1
164,9504.5,-124.3989,42.5808,1.612,2.31,0.000,6.00,6.000,6.000,1689.9,1
165,9513.1,-124.4076,42.5288,1.583,2.44,0.000,6.00,6.000,6.000,1681.3,1
166,9519.1,-124.4302,42.4651,1.598,2.63,0.000,6.00,6.000,6.000,1692.9,1
167,9524.0,-124.4336,42.4179,1.615,2.73,0.000,6.00,6.000,6.000,1704.4,1
