leg,cum_dist_km,lon,lat,Hs_m,wind_mps,curr_mps,V_service_mps,V_achievable_mps,SOG_mps,brakePower_kW,feasible
264,1473.9,144.5088,42.9387,1.385,3.95,0.000,6.00,6.000,6.000,1586.0,1
265,1480.2,144.5604,42.9466,1.381,3.93,0.000,6.00,6.000,6.000,1585.0,1
266,1492.2,144.6705,42.9367,1.386,4.06,0.000,6.00,6.000,6.000,1586.7,1
267,1495.8,144.7627,42.9295,1.386,4.13,0.000,6.00,6.000,6.000,1587.2,1
268,1497.3,144.7774,42.9398,1.378,4.06,0.000,6.00,6.000,6.000,1583.7,1
269,1506.3,144.8067,42.9760,1.374,3.88,0.000,6.00,6.000,6.000,1582.6,1
270,1509.3,144.8554,42.9978,1.359,3.85,0.000,6.00,6.000,6.000,1576.1,1
271,1512.0,144.8843,42.9840,1.363,3.97,0.000,6.00,6.000,6.000,1577.4,1
272,1514.8,144.9168,42.9789,1.365,4.08,0.000,6.00,6.000,6.000,1577.9,1
273,1520.3,144.9670,42.9822,1.365,4.24,0.000,6.00,6.000,6.000,1577.4,1
274,1521.5,145.0073,42.9878,1.267,4.35,0.000,6.00,6.000,6.000,1538.6,1
275,1522.6,145.0190,42.9929,1.270,4.37,0.000,6.00,6.000,6.000,1540.0,1
276,1524.0,145.0256,43.0028,1.269,4.37,0.000,6.00,6.000,6.000,1539.5,1
277,1525.3,145.0249,43.0148,1.266,4.36,0.000,6.00,6.000,6.000,1538.5,1
278,1528.5,145.0127,43.0325,1.254,4.33,0.000,6.00,6.000,6.000,1533.8,1
279,1532.6,145.0272,43.0389,1.257,4.39,0.000,6.00,6.000,6.000,1534.9,1
280,1534.6,145.0635,43.0336,1.242,4.51,0.000,6.00,6.000,6.000,1528.4,1
281,1536.8,145.0875,43.0393,1.255,4.52,0.000,6.00,6.000,6.000,1533.2,1
282,1537.9,145.1029,43.0488,1.228,4.50,0.000,6.00,6.000,6.000,1522.8,1
283,1538.7,145.1072,43.0562,1.229,4.49,0.000,6.00,6.000,6.000,1523.3,1
284,1539.2,145.1095,43.0615,1.229,4.47,0.000,6.00,6.000,6.000,1523.5,1
285,1542.3,145.1301,43.0650,1.240,4.48,0.000,6.00,6.000,6.000,1527.5,1
286,1543.2,145.1541,43.0684,1.218,4.49,0.000,6.00,6.000,6.000,1519.0,1
287,1544.5,145.1636,43.0750,1.223,4.48,0.000,6.00,6.000,6.000,1520.7,1
288,1545.9,145.1602,43.0820,1.218,4.44,0.000,6.00,6.000,6.000,1518.8,1
289,1547.3,145.1438,43.0845,1.239,4.40,0.000,6.00,6.000,6.000,1526.6,1
290,1548.4,145.1291,43.0862,1.226,4.37,0.000,6.00,6.000,6.000,1521.7,1
291,1550.4,145.1210,43.0972,1.217,4.32,0.000,6.00,6.000,6.000,1518.5,1
292,1552.0,145.1224,43.1131,1.214,4.26,0.000,6.00,6.000,6.000,1517.6,1
293,1553.4,145.1320,43.1241,1.217,4.23,0.000,6.00,6.000,6.000,1519.0,1
294,1554.8,145.1463,43.1302,1.225,4.22,0.000,6.00,6.000,6.000,1521.7,1
295,1561.1,145.1926,43.1367,1.214,4.25,0.000,6.00,6.000,6.000,1517.4,1
296,1563.5,145.2447,43.1453,1.207,4.28,0.000,6.00,6.000,6.000,1514.3,1
297,1566.0,145.2693,43.1573,1.184,4.27,0.000,6.00,6.000,6.000,1506.0,1
298,1568.0,145.2914,43.1693,1.195,4.24,0.000,6.00,6.000,6.000,1509.7,1
299,1576.3,145.3533,43.1742,1.158,4.25,0.000,6.00,6.000,6.000,1496.2,1
300,1579.0,145.4197,43.1785,1.159,4.24,0.000,6.00,6.000,6.000,1495.9,1
301,1580.4,145.4439,43.1830,1.172,4.24,0.000,6.00,6.000,6.000,1500.1,1
302,1582.8,145.4653,43.1780,1.151,4.30,0.000,6.00,6.000,6.000,1492.1,1
303,1584.6,145.4885,43.1700,1.164,4.38,0.000,6.00,6.000,6.000,1495.8,1
304,1586.2,145.5088,43.1672,1.143,4.44,0.000,6.00,6.000,6.000,1487.8,1
305,1587.2,145.5248,43.1676,1.151,4.48,0.000,6.00,6.000,6.000,1490.4,1
306,1606.5,145.6019,43.2384,1.179,4.12,0.000,6.00,6.000,6.000,1501.5,1
307,1607.4,145.6786,43.3091,1.210,3.63,0.000,6.00,6.000,6.000,1514.6,1
308,1609.2,145.6915,43.3162,1.215,3.57,0.000,6.00,6.000,6.000,1517.0,1
309,1610.1,145.7037,43.3242,1.221,3.50,0.000,6.00,6.000,6.000,1519.2,1
310,1613.3,145.7277,43.3295,1.233,3.46,0.000,6.00,6.000,6.000,1523.9,1
311,1614.5,145.7535,43.3348,1.245,3.43,0.000,6.00,6.000,6.000,1528.8,1
312,1617.1,145.7689,43.3466,1.251,3.32,0.000,6.00,6.000,6.000,1531.6,1
