leg,cum_dist_km,lon,lat,Hs_m,wind_mps,curr_mps,V_service_mps,V_achievable_mps,SOG_mps,brakePower_kW,feasible
96,699.5,142.0484,39.4533,2.101,7.33,0.000,5.50,5.500,5.500,1625.6,1
97,707.0,142.0589,39.4998,2.061,7.21,0.000,5.50,5.500,5.500,1597.3,1
98,707.6,142.0620,39.5349,2.025,6.50,0.000,5.50,5.500,5.500,1573.9,1
99,708.2,142.0670,39.5385,2.026,6.44,0.000,5.50,5.500,5.500,1574.5,1
100,709.2,142.0698,39.5453,2.021,6.33,0.000,5.50,5.500,5.500,1571.6,1
101,709.9,142.0692,39.5533,2.012,6.19,0.000,5.50,5.500,5.500,1565.7,1
102,710.5,142.0661,39.5581,2.003,6.10,0.000,5.50,5.500,5.500,1560.1,1
103,711.0,142.0616,39.5614,1.994,6.03,0.000,5.50,5.500,5.500,1554.4,1
104,714.4,142.0449,39.5735,1.963,5.78,0.000,5.50,5.500,5.500,1533.5,1
105,715.6,142.0291,39.5894,1.927,5.51,0.000,5.50,5.500,5.500,1511.1,1
106,717.6,142.0317,39.6032,1.915,5.36,0.000,5.50,5.500,5.500,1503.9,1
107,719.7,142.0336,39.6206,1.898,5.20,0.000,5.50,5.500,5.500,1493.8,1
108,720.8,142.0336,39.6343,1.884,5.09,0.000,5.50,5.500,5.500,1485.0,1
109,722.9,142.0243,39.6374,1.867,5.05,0.000,5.50,5.500,5.500,1474.5,1
110,731.1,141.9982,39.6714,1.856,4.56,0.000,5.50,5.500,5.500,1469.2,1
111,733.8,141.9876,39.7187,1.798,4.11,0.000,5.50,5.500,5.500,1436.8,1
112,734.4,141.9926,39.7329,1.790,3.95,0.000,5.50,5.500,5.500,1432.7,1
113,735.9,141.9994,39.7402,1.791,3.84,0.000,5.50,5.500,5.500,1433.2,1
114,736.8,142.0068,39.7489,1.731,3.77,0.000,5.50,5.500,5.500,1400.2,1
115,737.6,142.0078,39.7566,1.725,3.77,0.000,5.50,5.500,5.500,1397.0,1
116,738.5,142.0054,39.7639,1.715,3.77,0.000,5.50,5.500,5.500,1391.6,1
117,739.0,142.0044,39.7700,1.708,3.77,0.000,5.50,5.500,5.500,1387.9,1
118,739.6,142.0036,39.7751,1.702,3.77,0.000,5.50,5.500,5.500,1384.9,1
119,746.8,141.9905,39.8084,1.719,3.88,0.000,5.50,5.500,5.500,1393.8,1
120,748.2,141.9771,39.8458,1.671,4.09,0.000,5.50,5.500,5.500,1368.7,1
121,751.7,141.9736,39.8676,1.649,4.22,0.000,5.50,5.500,5.500,1357.4,1
122,752.8,141.9690,39.8874,1.627,4.35,0.000,5.50,5.500,5.500,1346.3,1
123,753.7,141.9627,39.8951,1.612,4.42,0.000,5.50,5.500,5.500,1339.1,1
124,759.8,141.9603,39.9260,1.585,4.65,0.000,5.50,5.500,5.500,1325.8,1
125,761.0,141.9605,39.9590,1.561,4.93,0.000,5.50,5.500,5.500,1314.1,1
126,762.3,141.9575,39.9696,1.549,5.03,0.000,5.50,5.500,5.500,1308.5,1
127,764.7,141.9524,39.9857,1.532,5.19,0.000,5.50,5.500,5.500,1300.5,1
128,765.6,141.9454,39.9990,1.587,5.33,0.000,5.50,5.500,5.500,1324.9,1
129,766.6,141.9358,40.0028,1.577,5.40,0.000,5.50,5.500,5.500,1319.9,1
130,780.8,141.8889,40.0596,1.682,6.29,0.000,5.50,5.500,5.500,1365.2,1
131,782.9,141.8567,40.1212,1.771,7.22,0.000,5.50,5.500,5.500,1407.2,1
132,784.5,141.8716,40.1333,1.822,7.46,0.000,5.50,5.500,5.500,1433.6,1
133,787.0,141.8711,40.1495,1.863,7.70,0.000,5.50,5.500,5.500,1456.3,1
134,788.3,141.8589,40.1635,1.886,7.86,0.000,5.50,5.500,5.500,1469.7,1
135,790.8,141.8394,40.1715,1.949,7.90,0.000,5.50,5.500,5.500,1506.7,1
136,794.7,141.8252,40.1933,1.996,8.13,0.000,5.50,5.500,5.500,1536.6,1
137,795.7,141.8294,40.2127,2.057,8.41,0.000,5.50,5.500,5.500,1576.8,1
138,797.1,141.8381,40.2201,2.091,8.57,0.000,5.50,5.500,5.500,1599.2,1
139,800.1,141.8362,40.2385,2.145,8.81,0.000,5.50,5.500,5.500,1637.9,1
140,805.0,141.8169,40.2706,2.226,9.09,0.000,5.50,5.500,5.500,1701.8,1
141,807.4,141.7946,40.2984,2.345,9.24,0.000,5.50,5.500,5.500,1798.8,1
142,808.5,141.7821,40.3112,2.385,9.28,0.000,5.50,5.500,5.500,1944.6,1
143,809.9,141.7770,40.3215,2.403,9.36,0.000,5.50,5.500,5.500,1962.2,1
144,810.6,141.7742,40.3308,2.421,9.44,0.000,5.50,5.500,5.500,1980.6,1
145,813.6,141.7657,40.3464,2.445,9.55,0.000,5.50,5.500,5.500,2005.7,1
146,814.9,141.7561,40.3642,2.370,9.67,0.000,5.50,5.500,5.500,1933.2,1
147,816.7,141.7487,40.3767,2.386,9.74,0.000,5.50,5.500,5.500,1950.7,1
